Federal Information Processing Standard (FIPS) Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2008-12","High school diploma only, 2008-12","Some college or associate's degree, 2008-12","Bachelor's degree or higher, 2008-12","Percent of adults with less than a high school diploma, 2008-12","Percent of adults with a high school diploma only, 2008-12","Percent of adults completing some college or associate's degree, 2008-12","Percent of adults with a bachelor's degree or higher, 2008-12","Less than a high school diploma, 2017-21","High school diploma only, 2017-21","Some college or associate's degree, 2017-21","Bachelor's degree or higher, 2017-21","Percent of adults with less than a high school diploma, 2017-21","Percent of adults with a high school diploma only, 2017-21","Percent of adults completing some college or associate's degree, 2017-21","Percent of adults with a bachelor's degree or higher, 2017-21"
00000,US,United States,,,,,52373312,34158051,11650730,11717266,47.7,31.1,10.6,10.7,44535197,45947035,20794975,21558480,33.5,34.6,15.7,16.2,39343718,47642763,39571702,32310253,24.8,30,24.9,20.3,35715625,52168981,49864428,44462605,19.6,28.6,27.4,24.4,29179819,57706852,59244324,58205022,14.28031114,28.24115535,28.99357875,28.48495476,25050356,59636386,64656741,75808834,11.12595968,26.4871296,28.71688902,33.6700217
01000,AL,Alabama,,,,,1062306,468269,136287,141936,58.7,25.9,7.5,7.8,964840,704207,278205,270063,43.5,31.8,12.5,12.2,843638,749591,553512,399228,33.1,29.4,21.7,15.7,714081,877216,746495,549608,24.7,30.4,25.9,19,551030,991406,918987,705001,17.40228093,31.30995723,29.02286617,22.26489567,430047,1041209,1032122,910425,12.59729984,30.4999732,30.23378912,26.66893784
01001,AL,Autauga County,2,2,2,2,6611,3757,933,767,54.8,31.1,7.7,6.4,7074,6145,2104,2117,40.6,35.2,12.1,12.1,6252,6671,4912,3026,30,32,23.5,14.5,5872,9332,7413,4972,21.3,33.8,26.9,18,5232,11874,10409,7629,14.88732074,33.78670612,29.6181425,21.70783064,4126,12977,11367,11144,10.41550967,32.75862069,28.69440097,28.13146867
01003,AL,Baldwin County,4,5,3,2,18726,8426,2334,2038,59.4,26.7,7.4,6.5,18125,15380,6602,5498,39.7,33.7,14.5,12.1,17309,20544,15900,10870,26.8,31.8,24.6,16.8,17258,28428,28178,22146,18,29.6,29.3,23.1,14792,36675,40497,35307,11.62244345,28.81646251,31.81950326,27.74159078,14555,44342,50518,52562,8.985843669,27.37549158,31.1883786,32.45028615
01005,AL,Barbour County,6,6,6,6,8120,2242,581,861,68.8,19,4.9,7.3,7759,3671,1362,1300,55.1,26.1,9.7,9.2,6965,4258,2622,1857,44.4,27.1,16.7,11.8,6679,6124,4025,2068,35.3,32.4,21.3,10.9,5013,6320,4892,2757,26.4092298,33.29470024,25.7717838,14.52428617,4378,6600,5010,2007,24.32898027,36.67685468,27.84106696,11.15309808
01007,AL,Bibb County,1,1,1,1,5272,1402,238,302,73.1,19.4,3.3,4.2,5254,2611,536,433,59.5,29.6,6.1,4.9,4850,3407,1332,476,48.2,33.8,13.2,4.7,4984,4838,2756,962,36.8,35.7,20.4,7.1,3702,6457,3963,1396,23.85616703,41.60974352,25.5380848,8.99600464,3125,7052,3967,1913,19.46191692,43.9185402,24.70573582,11.91380706
01009,AL,Blount County,1,1,1,1,10677,3440,626,404,70.5,22.7,4.1,2.7,11666,7011,1819,1144,53.9,32.4,8.4,5.3,9960,8763,4745,1773,39.5,34.7,18.8,7,9960,12136,8371,3235,29.6,36,24.8,9.6,9419,13994,10498,4792,24.33661473,36.15740382,27.12451231,12.38146914,6650,14284,13673,6061,16.35192289,35.12343858,33.62102882,14.90360972
01011,AL,Bullock County,6,6,6,6,4245,958,305,314,72.9,16.5,5.2,5.4,3473,1324,574,516,59,22.5,9.8,8.8,3428,1669,954,676,51,24.8,14.2,10,2992,2667,1325,586,39.5,35.2,17.5,7.7,2249,2729,1697,900,29.68976898,36.02640264,22.40264026,11.88118812,1540,2841,1692,804,22.39348553,41.31161844,24.60375164,11.69114439
01013,AL,Butler County,6,6,6,6,8353,2459,499,541,70.5,20.7,4.2,4.6,6929,3635,1016,1029,55,28.8,8.1,8.2,6374,3927,2106,1083,47.2,29.1,15.6,8,4439,4749,3146,1433,32.2,34.5,22.9,10.4,3341,5463,3465,1812,23.72700802,38.79696044,24.6076273,12.86840423,1932,6050,3523,1879,14.43514644,45.20322773,26.3224746,14.03915123
01015,AL,Calhoun County,3,2,3,2,30535,13804,3823,3921,58.6,26.5,7.3,7.5,28268,21411,8449,7213,43.3,32.8,12.9,11,23633,21711,16835,10266,32.6,30,23.2,14.2,19318,23856,19576,11265,26.1,32.2,26.4,15.2,16603,26224,22932,12544,21.20352988,33.49041544,29.28623424,16.01982044,11867,27783,24939,15674,14.78514384,34.61495334,31.07160211,19.52830071
